analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S027,Recreational/Public (休闲与公共设施区),1.6617000822848011,2.0985194445728887,0.6457884203839678,0.125,0.14351447773095233,0.3139576149538056
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S028,Recreational/Public (休闲与公共设施区),2.0805282977052393,2.578404444759131,0.623749511160033,0.25,0.06506121357925693,0.3505699862867131
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S028,Recreational/Public (休闲与公共设施区),1.7957347432645652,2.469082297738029,0.6439811178891528,0.16666666666666666,0.05249490077075558,0.31997436266484347
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S028,Recreational/Public (休闲与公共设施区),1.9381315204849023,2.5243352465309505,0.633865314524593,0.20833333333333334,0.009943328462767544,0.3430523636538248
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S029,Recreational/Public (休闲与公共设施区),1.90976745245218,2.499161785526671,0.6428019484242318,0.16666666666666666,0.13176161024305544,0.3456165889012869
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S029,Recreational/Public (休闲与公共设施区),1.774182173414296,2.272780611152269,0.7054395013067897,0.041666666666666664,0.07172350719020339,0.2805804803615518
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S029,Recreational/Public (休闲与公共设施区),1.8419748129332383,2.3886545728366144,0.6741207248655107,0.10416666666666667,0.02196748213158495,0.3181613868321712
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S030,Recreational/Public (休闲与公共设施区),1.5389419235887836,1.998874730918341,0.6617190318729828,0.25,0.004012820512820361,0.28445255488166354
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S030,Recreational/Public (休闲与公共设施区),1.6320972089601475,2.130231649595312,0.6411534373676989,0.125,0.07422567543503919,0.25453610505939206
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S030,Recreational/Public (休闲与公共设施区),1.5855195662744652,2.06559762185686,0.6514362346203408,0.1875,0.03683227663642984,0.2758912067888021
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S001,Educational (文教科研区),1.4707343599796368,2.228062630656749,0.4567978337062493,0.4583333333333333,0.029069767441860354,0.13497749016170094
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S001,Educational (文教科研区),2.2363003135600716,2.6715976840643862,0.5805443069066448,0.20833333333333334,0.008300395256916861,0.21401398450064751
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S001,Educational (文教科研区),1.853517336769854,2.4598472789613655,0.5186710703064471,0.3333333333333333,0.018786692759295433,0.1748230623412118
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S002,Educational (文教科研区),2.181626898225244,2.6032791776811317,0.4802676536866051,0.16666666666666666,0.06064257028112459,0.19126645080054844
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S002,Educational (文教科研区),2.4518198252045655,3.195655732567956,0.666155312384781,0.20833333333333334,0.04501992031872514,0.24229594142466102
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S002,Educational (文教科研区),2.316723361714905,2.914556401756757,0.573211483035693,0.1875,0.0076000000000000225,0.22037431520342798
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S003,Educational (文教科研区),2.0309749276267937,2.454959635037747,0.55748821628961,0.25,0.05225563909774428,0.19024560839214955
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S003,Educational (文教科研区),2.7339161458622634,3.9520060841984606,0.5964066634906103,0.16666666666666666,0.09285714285714303,0.22850619969381342
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S003,Educational (文教科研区),2.382445536744529,3.289770425060563,0.5769474398901102,0.20833333333333334,0.07255639097744365,0.2129654661845419
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S004,Educational (文教科研区),0.935635904176254,1.2593948234727705,0.3265831078040273,0.6666666666666666,0.02017167381974244,0.08658422033195415
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S004,Educational (文教科研区),2.1469720650100226,3.1221707292345617,0.7122832512224851,0.3333333333333333,0.1222727272727273,0.24646298339778597
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S004,Educational (文教科研区),1.5413039845931384,2.3805488215828596,0.5194331795132562,0.5,0.06975717439293604,0.16018599353755644
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S005,Educational (文教科研区),1.299474211246525,1.7725877891907518,0.48528455038306956,0.5,0.02895752895752896,0.12911744073091197
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S005,Educational (文教科研区),1.453140659716082,2.1067176316591545,0.6797738988391986,0.3333333333333333,0.04367346938775506,0.1482530612582827
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S005,Educational (文教科研区),1.3763074354813034,1.9468341801411482,0.5825292246111341,0.4166666666666667,0.0361111111111112,0.13869089319644706
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S006,Educational (文教科研区),1.2310133422807177,1.7608199893973027,0.622621926616927,0.5,0.025301204819277383,0.12097643584081044
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S006,Educational (文教科研区),1.730567697056638,2.4096221029180582,0.6306021603410623,0.3333333333333333,0.016796875000000044,0.16201840072422935
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S006,Educational (文教科研区),1.4807905196686777,2.1103039726461637,0.6266120434789947,0.4166666666666667,0.003960396039604073,0.14135708866666183
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S007,Educational (文教科研区),1.3327499746836213,1.7404677129799726,0.5973374177773871,0.3333333333333333,0.00039062500000031086,0.12507040469506808
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S007,Educational (文教科研区),1.6308104594949722,2.2144374046891313,0.5825713784799329,0.2916666666666667,0.07918215613382903,0.13807757412912736
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S007,Educational (文教科研区),1.4817802170892966,1.9916024803173038,0.58995439812866,0.3125,0.040380952380952254,0.13467211046768757
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S008,Educational (文教科研区),1.6478755544019321,2.2085791072021177,0.6491742138996974,0.3333333333333333,0.009583333333333381,0.16992993958342323
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S008,Educational (文教科研区),1.9121611878369376,2.604225050485297,0.4082120537984113,0.375,0.00042016806722674745,0.19259728990581235
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S008,Educational (文教科研区),1.7800183711194346,2.414519598837919,0.5286931338490545,0.3541666666666667,0.004602510460251141,0.18121754643122234
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S009,Commercial/Transit (商业与交通枢纽区),1.5286183395946455,1.9165459716758397,0.6679455758225806,0.16666666666666666,0.010221835440061772,0.2102294693583593
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S009,Commercial/Transit (商业与交通枢纽区),2.335552827628765,2.940851586924092,0.6436872798481261,0.16666666666666666,0.08951181830545352,0.29838776497131725
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S009,Commercial/Transit (商业与交通枢纽区),1.9320855836117048,2.4821116531958065,0.6558164278353533,0.16666666666666666,0.051383301954882624,0.2594143511175838
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S010,Recreational/Public (休闲与公共设施区),1.8506288463922302,2.3268829330205465,0.6402751740426557,0.08333333333333333,0.05402706843718084,0.236821861507219
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S010,Recreational/Public (休闲与公共设施区),1.8354863116786504,2.5032273408143983,0.6589790896592271,0.2916666666666667,0.0698186528497409,0.2411010516582117
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S010,Recreational/Public (休闲与公共设施区),1.8430575790354407,2.4166641578613097,0.6496271318509415,0.1875,0.062242097525116474,0.23728606811540293
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S011,Recreational/Public (休闲与公共设施区),1.6389560933907692,1.996714742026609,0.567827541067658,0.20833333333333334,0.03707671789810105,0.20400627755864667
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S011,Recreational/Public (休闲与公共设施区),1.7893490746327532,2.4114456751853885,0.7196739392807222,0.3333333333333333,0.06689855720748418,0.23885685360231443
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S011,Recreational/Public (休闲与公共设施区),1.714152584011761,2.213813452551581,0.6437507401741901,0.2708333333333333,0.015198144171557746,0.2302928868681363
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S012,Commercial/Transit (商业与交通枢纽区),1.6656126308707158,2.0363181626819657,0.7035577812292481,0.20833333333333334,0.03458133447204477,0.2186317871346512
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S012,Commercial/Transit (商业与交通枢纽区),1.793541533283325,2.221820308081647,0.689937525228662,0.25,0.04312560044391431,0.21662589656279252
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S012,Commercial/Transit (商业与交通枢纽区),1.7295770820770204,2.1310885881483763,0.696747653228955,0.22916666666666666,0.03898909072737422,0.2170713018922572
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S013,Commercial/Transit (商业与交通枢纽区),1.3914825840464211,1.739703744697152,0.5248558987009293,0.2916666666666667,0.0885025292168148,0.16470331680596556
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S013,Commercial/Transit (商业与交通枢纽区),1.5074456988938323,1.914055207660261,0.5529059959169659,0.2916666666666667,0.03311962370892337,0.2108384723859042
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S013,Commercial/Transit (商业与交通枢纽区),1.4494641414701268,1.828958235893409,0.5388809473089476,0.2916666666666667,0.029057993798055053,0.189067368253727
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S014,Recreational/Public (休闲与公共设施区),1.921807876361789,2.5065947761733547,0.6085582498796069,0.20833333333333334,0.01907556859867949,0.24572315630235608
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S014,Recreational/Public (休闲与公共设施区),2.0601695253801364,2.7000209466181557,0.6733816950613526,0.25,0.1701473401319586,0.22222586038917783
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S014,Recreational/Public (休闲与公共设施区),1.9909887008709628,2.6051036912296173,0.6409699724704797,0.22916666666666666,0.07985823647368465,0.23537982921819622
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S015,Recreational/Public (休闲与公共设施区),1.7737064276728425,2.4332299060658467,0.7521190086048879,0.25,0.034657414789715055,0.23943281133610367
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S015,Recreational/Public (休闲与公共设施区),1.6632550948674816,2.147142192893033,0.6480622783609694,0.20833333333333334,0.12046987959231455,0.21106834132814767
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S015,Recreational/Public (休闲与公共设施区),1.7184807612701618,2.2946489243754384,0.7000906434829286,0.22916666666666666,0.07900184492513666,0.22531156736063648
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S016,Commercial/Transit (商业与交通枢纽区),1.7524933812914838,2.1295486560906283,0.5584126559817699,0.20833333333333334,0.11952903753027906,0.17727752187506052
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S016,Commercial/Transit (商业与交通枢纽区),2.327058378063802,2.937869344964639,0.5540037574074517,0.2916666666666667,0.08175787728026536,0.28960969319734464
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S016,Commercial/Transit (商业与交通枢纽区),2.039775879677643,2.5657410008358563,0.5562082066946108,0.25,0.10050146056222704,0.23953644562944787
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S017,Recreational/Public (休闲与公共设施区),1.8063536589714388,2.1079643294158985,0.7990796118101349,0.125,0.08918546365914796,0.3300560730131104
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S017,Recreational/Public (休闲与公共设施区),1.9258171116761915,2.5648181793755054,0.8220269420929069,0.125,0.07303913652024126,0.32875023249849705
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S017,Recreational/Public (休闲与公共设施区),1.8660853853238153,2.3475312465806395,0.8105532769515209,0.125,0.00485209750090952,0.3231815445099194
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S018,Recreational/Public (休闲与公共设施区),1.9519236902251382,2.4269663255393636,0.7771371942368668,0.125,0.005706141992638457,0.3418526128910541
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S018,Recreational/Public (休闲与公共设施区),1.980319974260663,2.3939293688822225,0.702680006382133,0.20833333333333334,0.07989506242801457,0.3288048016643036
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S018,Recreational/Public (休闲与公共设施区),1.9661218322429006,2.410504446013207,0.7399086003095,0.16666666666666666,0.04398028469074769,0.3338133698626662
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S019,Recreational/Public (休闲与公共设施区),1.7637777045210201,2.318559333362615,0.5840501513601656,0.25,0.06351615601798594,0.29118674825399266
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S019,Recreational/Public (休闲与公共设施区),2.132093949060333,2.733703288649218,0.7836826130048947,0.16666666666666666,0.1590979373009293,0.3780816588926827
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S019,Recreational/Public (休闲与公共设施区),1.9479358267906763,2.534645049380134,0.6838663821825302,0.20833333333333334,0.03827393126166676,0.34095953790012173
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S020,Recreational/Public (休闲与公共设施区),1.2541833906726707,1.6913744683913643,0.5910132381580145,0.3333333333333333,0.08633587786259543,0.24510197765632866
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S020,Recreational/Public (休闲与公共设施区),1.4262843722574263,1.98696965363194,0.5935563114075606,0.3333333333333333,0.10811286485060229,0.2769312299167624
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S020,Recreational/Public (休闲与公共设施区),1.3402338814650487,1.8451010808056563,0.5922847747827875,0.3333333333333333,0.014805959006540373,0.23725179157246243
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S021,Commercial/Transit (商业与交通枢纽区),1.6432369218119518,2.1726179937330907,0.6465285072699204,0.125,0.04716239316239326,0.2901877100070185
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S021,Commercial/Transit (商业与交通枢纽区),1.694544177263441,2.248236997967128,0.7517954151240905,0.125,0.10290871596104169,0.3080522507146469
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S021,Commercial/Transit (商业与交通枢纽区),1.6688905495376964,2.2107508391631385,0.6991619611970054,0.125,0.07503555456171748,0.29735713752541787
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S022,Recreational/Public (休闲与公共设施区),1.9116893049227013,2.438716362751002,0.65229897635738,0.20833333333333334,0.017717993584135387,0.34453835749112627
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S022,Recreational/Public (休闲与公共设施区),1.637155063724456,2.0960784225078406,0.591265015677488,0.125,0.13062006862446887,0.26402888642752864
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S022,Recreational/Public (休闲与公共设施区),1.7744221843235788,2.2738604015256123,0.6217819960174339,0.16666666666666666,0.0599318945756033,0.31219666277052094
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S023,Recreational/Public (休闲与公共设施区),2.137272296135593,2.5671030013585003,0.7553823562366621,0.25,0.1655856988860943,0.3839866254111378
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,return,S023,Recreational/Public (休闲与公共设施区),2.115511679694064,2.9344212738266022,0.7701978973190083,0.08333333333333333,0.1922075028832365,0.38408658349156455
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,combined,S023,Recreational/Public (休闲与公共设施区),2.126391987914828,2.756886471354049,0.7627901267778352,0.16666666666666666,0.17878567670134396,0.38485542561543123
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,7,nonnegative_continuous,borrow,S024,Commercial/Transit (商业与交通枢纽区),1.5581428326905893,1.8603959595194128,0.5620428824889933,0.20833333333333334,0.14764048829408333,0.2478558232768019
